100 5014
1 5 -1
1 6 20
1 7 28
1 10 74
1 11 89
1 13 31
1 14 43
1 15 79
1 16 48
1 18 27
1 20 10
1 21 62
1 23 72
1 26 58
1 27 57
1 28 48
1 29 -1
1 31 38
1 32 67
1 33 66
1 34 78
1 35 65
1 38 21
1 39 10
1 40 41
1 44 59
1 48 11
1 49 32
1 51 69
1 56 69
1 57 78
1 58 33
1 59 10
1 61 88
1 62 33
1 63 55
1 64 46
1 65 49
1 67 89
1 70 44
1 71 27
1 72 86
1 75 68
1 76 56
1 78 63
1 79 72
1 80 89
1 86 25
1 87 35
1 89 10
1 90 55
1 92 45
1 95 64
1 96 12
1 97 18
1 98 57
1 99 70
1 100 92
2 4 77
2 9 48
2 10 75
2 12 100
2 15 85
2 16 47
2 21 35
2 25 53
2 26 40
2 27 37
2 28 59
2 29 51
2 30 59
2 32 74
2 33 31
2 36 35
2 37 41
2 38 43
2 39 44
2 40 26
2 42 56
2 43 17
2 44 28
2 45 85
2 46 59
2 47 54
2 49 42
2 50 65
2 53 62
2 55 78
2 56 87
2 57 56
2 59 15
2 60 36
2 62 22
2 64 33
2 65 76
2 66 81
2 68 29
2 69 83
2 70 87
2 72 93
2 73 51
2 74 69
2 75 31
2 76 50
2 77 30
2 78 23
2 79 72
2 80 11
2 84 52
2 87 79
2 93 19
2 94 82
2 97 66
2 100 43
3 4 17
3 5 81
3 6 54
3 7 43
3 8 28
3 9 27
3 10 57
3 17 98
3 18 22
3 19 86
3 20 53
3 22 34
3 24 73
3 26 36
3 29 48
3 30 16
3 31 41
3 32 81
3 33 83
3 37 87
3 38 55
3 43 37
3 44 -1
3 46 45
3 47 64
3 48 36
3 50 96
3 54 90
3 57 11
3 59 37
3 60 23
3 62 79
3 63 62
3 64 10
3 67 27
3 69 26
3 70 98
3 74 34
3 75 100
3 76 65
3 80 24
3 84 40
3 85 85
3 87 20
3 90 72
3 92 98
3 96 40
3 97 58
4 1 59
4 3 12
4 5 82
4 10 53
4 13 40
4 14 100
4 18 48
4 23 22
4 25 22
4 26 33
4 29 84
4 30 54
4 31 78
4 33 45
4 35 77
4 37 31
4 41 45
4 42 79
4 43 39
4 44 64
4 45 15
4 46 65
4 48 16
4 49 53
4 50 55
4 51 47
4 54 13
4 56 24
4 58 44
4 59 72
4 60 26
4 62 93
4 65 18
4 68 13
4 70 22
4 71 84
4 74 53
4 76 75
4 78 74
4 80 69
4 82 80
4 84 43
4 85 60
4 87 39
4 90 25
4 92 78
4 94 99
4 96 65
